Sentence	Length	Label	BOWPrediction	FloatSensitivity	SubspansPos	SubspansNeut	SubspansNeg	RobertaPrediction
it all feels like a monty python sketch gone horribly wrong .	12	0	0	 1.118676494437756	1	12	10	0
the film tunes into a grief that could lead a man across centuries .	14	1	1	 1.100339218781812	4	21	2	1
dazzles with its fully-written characters , its determined stylishness ( which always relates to characters and story ) and johnny dankworth 's best soundtrack in years .	27	1	1	 0.8239337596784702	20	32	1	1
it 's a work by an artist so in control of both his medium and his message that he can improvise like a jazzman .	25	1	1	 1.0871974699569271	12	37	0	1
it 's the chemistry between the women and the droll scene-stealing wit and wolfish pessimism of anna chancellor that makes this `` two weddings and a funeral '' fun .	30	1	1	 1.0963157156236212	14	43	2	1
stealing harvard is evidence that the farrelly bros. -- peter and bobby -- and their brand of screen comedy are wheezing to an end , along with green 's half-hearted movie career .	33	0	0	 1.1942723149240544	2	50	13	0
a full world has been presented onscreen , not some series of carefully structured plot points building to a pat resolution .	22	1	0	 2.621900677680443	10	31	2	1
huston nails both the glad-handing and the choking sense of hollow despair .	13	1	1	 2.1749943911163507	1	16	8	1
one of the more intelligent children 's movies to hit theaters this year .	14	1	1	 1.3639941811510277	5	22	0	1
the film tries too hard to be funny and tries too hard to be hip .	16	0	0	 1.1578302899177866	3	19	9	0
blanchett 's performance confirms her power once again .	9	1	1	 0.9928345853001243	3	14	0	1
if you believe any of this , i can make you a real deal on leftover enron stock that will double in value a week from friday .	28	0	1	 2.298968481761045	4	47	4	0
attempts by this ensemble film to impart a message are so heavy-handed that they instead pummel the audience .	19	0	1	 0.9123300810063015	1	29	7	0
no one but a convict guilty of some truly heinous crime should have to sit through the master of disguise .	21	0	0	 1.4446184858097846	1	30	10	0
rarely has so much money delivered so little entertainment .	10	0	0	 2.182632565498677	1	11	7	0
taylor appears to have blown his entire budget on soundtrack rights and had nothing left over for jokes .	19	0	0	 0.9101322063322755	1	22	14	0
`` the time machine '' is a movie that has no interest in itself .	15	0	0	 2.0154399860433125	0	20	9	0
a rarity among recent iranian films : it 's a comedy full of gentle humor that chides the absurdity of its protagonist 's plight .	25	1	1	 1.0111488248456035	16	27	6	1
/ but daphne , you 're too buff / fred thinks he 's tough / and velma - wow , you 've lost weight !	25	0	0	 2.357900210756762	4	44	1	0
the very definition of the ` small ' movie , but it is a good stepping stone for director sprecher .	21	1	1	 1.8351994330412593	10	30	1	1
it 's like every bad idea that 's ever gone into an after-school special compiled in one place , minus those daytime programs ' slickness and sophistication ( and who knew they even had any ? ) .	38	0	0	 1.4067067953921844	4	55	16	0
chilling , well-acted , and finely directed : david jacobson 's dahmer .	13	1	1	 0.6141772262208905	12	12	1	1
it ca n't decide if it wants to be a mystery/thriller , a romance or a comedy .	18	0	0	 1.2062307596184434	3	30	2	0
a coda in every sense , the pinochet case splits time between a minute-by-minute account of the british court 's extradition chess game and the regime 's talking-head survivors .	30	1	0	 2.5962290363370664	3	55	1	1
it 's played in the most straight-faced fashion , with little humor to lighten things up .	17	0	1	 1.9907761249998153	8	22	3	1
a dumb movie with dumb characters doing dumb things and you have to be really dumb not to see where this is going .	24	0	0	 0.7894197797217667	0	25	22	0
with virtually no interesting elements for an audience to focus on , chelsea walls is a triple-espresso endurance challenge .	20	0	0	 1.5287338687845329	2	30	7	0
dense with characters and contains some thrilling moments .	9	1	1	 1.357433735672066	6	9	2	1
as unseemly as its title suggests .	7	1	0	 0.8300502834482245	1	10	2	0
it 's like watching a nightmare made flesh .	9	0	0	 1.6397411150272754	0	11	6	0
minority report is exactly what the title indicates , a report .	12	1	0	 2.2348121451560066	2	21	0	1
it 's hard to like a film about a guy who is utterly unlikeable , and shiner , starring michael caine as an aging british boxing promoter desperate for a taste of fame and fortune , is certainly that .	40	0	0	 4.45349473511312	4	62	13	0
an entertaining , colorful , action-filled crime story with an intimate heart .	13	1	1	 0.878714859356498	13	11	1	1
for this reason and this reason only -- the power of its own steadfast , hoity-toity convictions -- chelsea walls deserves a medal .	24	1	1	 2.0958329272577987	8	32	7	1
it just may inspire a few younger moviegoers to read stevenson 's book , which is a treasure in and of itself .	23	1	1	 1.1958714187786357	15	30	0	1
basically a static series of semi-improvised ( and semi-coherent ) raps between the stars .	15	0	0	 1.1400659664272126	1	21	7	0
... with `` the bourne identity '' we return to the more traditional action genre .	16	1	1	 1.47612020371736	5	26	0	1
it 's so good that its relentless , polished wit can withstand not only inept school productions , but even oliver parker 's movie adaptation .	26	1	1	 1.0644352660108556	13	30	8	1
chokes on its own depiction of upper-crust decorum .	9	0	0	 1.3227300523429266	0	13	4	0
while there 's something intrinsically funny about sir anthony hopkins saying ` get in the car , bitch , ' this jerry bruckheimer production has little else to offer	29	1	1	 1.3149766243930376	5	37	15	0
a rewarding work of art for only the most patient and challenge-hungry moviegoers .	14	1	1	 0.9320188002708795	8	18	1	1
directed in a paint-by-numbers manner .	6	0	0	 1.197534798927872	0	8	3	0
k-19 exploits our substantial collective fear of nuclear holocaust to generate cheap hollywood tension .	15	0	0	 1.7551008503891425	1	20	8	0
at its best , queen is campy fun like the vincent price horror classics of the '60s .	18	1	1	 1.086730128451359	14	20	1	1
it 's a much more emotional journey than what shyamalan has given us in his past two movies , and gibson , stepping in for bruce willis , is the perfect actor to take us on the trip .	39	1	1	 0.7646310759929653	19	58	0	1
the quality of the art combined with the humor and intelligence of the script allow the filmmakers to present the biblical message of forgiveness without it ever becoming preachy or syrupy .	32	1	0	 0.6314541077727205	21	39	3	1
cool ?	2	1	1	 0.4439275236947822	2	1	0	1
deliriously funny , fast and loose , accessible to the uninitiated , and full of surprises	16	1	1	 0.7055137155208033	15	15	1	1
even with a green mohawk and a sheet of fire-red flame tattoos covering his shoulder , however , kilmer seems to be posing , rather than acting .	28	0	0	 1.9727348685011266	0	46	9	0
the story and the friendship proceeds in such a way that you 're watching a soap opera rather than a chronicle of the ups and downs that accompany lifelong friendships .	31	0	1	 2.536600299740723	4	49	8	0
at a time when half the so-called real movies are little more than live-action cartoons , it 's refreshing to see a cartoon that knows what it is , and knows the form 's history .	36	1	1	 0.9472847779432207	14	52	5	1
the old-world - meets-new mesh is incarnated in the movie 's soundtrack , a joyful effusion of disco bollywood that , by the end of monsoon wedding , sent my spirit soaring out of the theater .	37	1	1	 0.983373093059901	26	46	1	1
jones ... does offer a brutal form of charisma .	10	1	1	 1.829669684480722	4	14	1	1
its well of thorn and vinegar ( and simple humanity ) has long been plundered by similar works featuring the insight and punch this picture so conspicuously lacks .	29	0	0	 1.367189949568543	2	42	13	0
travels a fascinating arc from hope and euphoria to reality and disillusionment .	13	1	1	 0.7608341355434185	11	13	1	1
serving sara does n't serve up a whole lot of laughs .	12	0	0	 2.537233979639065	5	14	4	0
the sort of film that makes me miss hitchcock , but also feel optimistic that there 's hope for popular cinema yet .	23	1	1	 1.3413371021614535	16	28	1	1
fun , flip and terribly hip bit of cinematic entertainment .	11	1	1	 1.1747726497935862	9	11	1	1
the x potion gives the quickly named blossom , bubbles and buttercup supernatural powers that include extraordinary strength and laser-beam eyes , which unfortunately do n't enable them to discern flimsy screenplays .	33	0	1	 1.0380355738127511	3	48	14	0
the wild thornberrys movie is a jolly surprise .	9	1	1	 1.0210461985879298	9	8	0	1
entertains by providing good , lively company .	8	1	1	 0.5990241782575012	9	6	0	1
a densely constructed , highly referential film , and an audacious return to form that can comfortably sit among jean-luc godard 's finest work .	25	1	1	 0.8611839410152274	17	32	0	1
what was once original has been co-opted so frequently that it now seems pedestrian .	15	0	0	 1.1000415086231878	2	21	6	0
the story and structure are well-honed .	7	1	1	 1.1729582548437356	4	9	0	1
macdowell , whose wifty southern charm has anchored lighter affairs ... brings an absolutely riveting conviction to her role .	20	1	1	 0.834266914226172	16	23	0	1
an intriguing cinematic omnibus and round-robin that occasionally is more interesting in concept than in execution .	17	1	1	 1.9020098730939023	9	22	2	1
the second coming of harry potter is a film far superior to its predecessor .	15	1	1	 1.5456900592443585	7	22	0	1
if you can stomach the rough content , it 's worth checking out for the performances alone .	18	1	1	 1.9057205113476916	9	22	4	1
a warm , funny , engaging film .	8	1	1	 0.7457192533820086	10	5	0	1
i 'll bet the video game is a lot more fun than the film .	15	0	1	 2.427454412116735	3	21	5	0
the best film about baseball to hit theaters since field of dreams .	13	1	1	 1.093994259813465	10	15	0	1
it is great summer fun to watch arnold and his buddy gerald bounce off a quirky cast of characters .	20	1	1	 0.6599929783274843	14	24	1	1
complete lack of originality , cleverness or even visible effort	10	0	0	 0.970228317266292	4	13	2	0
awesome creatures , breathtaking scenery , and epic battle scenes add up to another ` spectacular spectacle . '	19	1	1	 0.737261450399529	22	15	0	1
all-in-all , the film is an enjoyable and frankly told tale of a people who live among us , but not necessarily with us .	25	1	1	 1.1390440289612578	15	32	2	1
hit and miss as far as the comedy goes and a big ole ' miss in the way of story .	21	0	1	 1.5132516586056364	3	30	8	0
too much of it feels unfocused and underdeveloped .	9	0	0	 1.0800835788200274	0	9	8	0
a deep and meaningful film .	6	1	1	 0.8190393414914966	5	6	0	1
but it could have been worse .	7	0	0	 0.8450654147163114	0	9	4	0
that 's pure pr hype .	6	0	1	 1.8731490969708668	1	6	4	0
a painfully funny ode to bad behavior .	8	1	0	 1.884502347290585	3	7	5	1
you 'll gasp appalled and laugh outraged and possibly , watching the spectacle of a promising young lad treading desperately in a nasty sea , shed an errant tear .	30	1	1	 1.6640112294327851	15	33	11	1
liotta put on 30 pounds for the role , and has completely transformed himself from his smooth , goodfellas image .	21	1	1	 2.2938153242657227	6	34	1	1
a beguiling splash of pastel colors and prankish comedy from disney .	12	1	1	 0.8189013449494214	12	11	0	1
it proves quite compelling as an intense , brooding character study .	12	1	1	 1.015753386810855	10	12	1	1
an unwise amalgam of broadcast news and vibes .	9	0	0	 0.8913248777546857	0	14	3	0
utterly lacking in charm , wit and invention , roberto benigni 's pinocchio is an astonishingly bad film .	19	0	0	 0.8001180041382917	5	20	12	0
and that leaves a hole in the center of the salton sea .	13	0	0	 1.5862479603310267	0	22	3	0
the chateau cleverly probes the cross-cultural differences between gauls and yanks .	12	1	1	 0.9596428815466157	4	19	0	1
broomfield turns his distinctive ` blundering ' style into something that could really help clear up the case .	19	1	1	 1.4781863728380515	6	27	4	1
a pleasant enough romance with intellectual underpinnings , the kind of movie that entertains even as it turns maddeningly predictable .	21	1	1	 1.3504127277449114	12	25	4	1
what really makes it special is that it pulls us into its world , gives us a hero whose suffering and triumphs we can share , surrounds him with interesting characters and sends us out of the theater feeling we 've shared a great adventure .	46	1	1	 0.5028684792187839	44	44	3	1
with the exception of some fleetingly amusing improvisations by cedric the entertainer as perry 's boss , there is n't a redeeming moment here .	25	0	0	 0.844241919921754	10	34	5	0
having had the good sense to cast actors who are , generally speaking , adored by the movie-going public , khouri then gets terrific performances from them all .	29	1	1	 1.2395534509297788	20	37	0	1
... a boring parade of talking heads and technical gibberish that will do little to advance the linux cause .	20	0	0	 0.9874491566312547	0	26	13	0
it 's of the quality of a lesser harrison ford movie - six days , seven nights , maybe , or that dreadful sabrina remake .	26	0	0	 2.1797486064659535	2	36	13	0
if you enjoy more thoughtful comedies with interesting conflicted characters ; this one is for you .	17	1	1	 1.4078593850095606	12	21	0	1
the most hopelessly monotonous film of the year , noteworthy only for the gimmick of being filmed as a single unbroken 87-minute take .	24	0	0	 1.138117664341035	1	35	11	0
it deserves to be seen by anyone with even a passing interest in the events shaping the world beyond their own horizons .	23	1	1	 1.5016014724623998	8	36	1	1
in an effort , i suspect , not to offend by appearing either too serious or too lighthearted , it offends by just being wishy-washy .	26	0	0	 1.8860587826077493	2	33	16	0
no way i can believe this load of junk .	10	0	0	 1.0894420804786753	0	9	10	0
there is a fabric of complex ideas here , and feelings that profoundly deepen them .	16	1	1	 1.2352097024880824	11	20	0	1
this tenth feature is a big deal , indeed -- at least the third-best , and maybe even a notch above the previous runner-up , nicholas meyer 's star trek vi : the undiscovered country .	36	1	1	 1.1404950618671021	15	55	1	1
not only unfunny , but downright repellent .	8	0	0	 0.686408161574776	0	7	8	0
works hard to establish rounded characters , but then has nothing fresh or particularly interesting to say about them .	20	0	1	 1.3093050857193407	4	29	6	0
just one bad idea after another .	7	0	0	 1.3838481351883174	0	8	5	0
... turns so unforgivably trite in its last 10 minutes that anyone without a fortified sweet tooth will likely go into sugar shock .	24	0	0	 1.351646326305337	3	35	9	0
his comedy premises are often hackneyed or just plain crude , calculated to provoke shocked laughter , without following up on a deeper level .	25	0	0	 1.5685402498572338	6	31	12	0
( næs ) directed the stage version of elling , and gets fine performances from his two leads who originated the characters on stage .	25	1	1	 0.8538497339455979	9	38	2	1
a swashbuckling tale of love , betrayal , revenge and above all , faith .	15	1	1	 0.8496680256094087	9	20	0	1
for movie lovers as well as opera lovers , tosca is a real treat .	15	1	1	 0.8057271557256677	14	15	0	1
the film is quiet , threatening and unforgettable .	9	1	1	 1.2210047869499245	7	9	1	1
there is no pleasure in watching a child suffer .	10	0	0	 1.752621769899291	1	9	9	0
jason x is positively anti-darwinian : nine sequels and 400 years later , the teens are none the wiser and jason still kills on auto-pilot .	26	0	0	 1.9905906057816432	4	39	8	0
stealing harvard aspires to comedic grand larceny but stands convicted of nothing more than petty theft of your time .	20	0	0	 1.3331894732459832	4	20	15	0
( d ) oes n't bother being as cloying or preachy as equivalent evangelical christian movies -- maybe the filmmakers know that the likely audience will already be among the faithful .	32	1	0	 3.9654859248764693	12	44	7	0
displaying about equal amounts of naiveté , passion and talent , beneath clouds establishes sen as a filmmaker of considerable potential .	22	1	1	 1.5644975159234313	20	23	0	1
` easily my choice for one of the year 's best films . '	14	1	1	 1.1898769771128017	11	16	0	1
a very long movie , dull in stretches , with entirely too much focus on meal preparation and igloo construction .	21	0	0	 1.332540304704356	2	28	11	0
as a first-time director , paxton has tapped something in himself as an actor that provides frailty with its dark soul .	22	1	1	 0.6743325669139104	9	33	1	1
it 's a grab bag of genres that do n't add up to a whole lot of sense .	19	0	0	 1.8781516253932116	2	27	8	0
instead of hiding pinocchio from critics , miramax should have hidden it from everyone .	15	0	0	 1.1949166953205865	0	25	4	0
portentous and pretentious , the weight of water is appropriately titled , given the heavy-handedness of it drama .	19	0	0	 1.895350901939203	1	27	9	0
altogether , this is successful as a film , while at the same time being a most touching reconsideration of the familiar masterpiece .	24	1	1	 0.9936049855957135	21	26	0	1
there has always been something likable about the marquis de sade .	12	1	1	 1.830719336999303	6	17	0	1
the humor is forced and heavy-handed , and occasionally simply unpleasant .	12	0	0	 0.8450858973494555	1	10	12	0
without ever becoming didactic , director carlos carrera expertly weaves this novelistic story of entangled interrelationships and complex morality .	20	1	1	 0.7607609031949969	13	24	2	1
partway through watching this saccharine , easter-egg-colored concoction , you realize that it is made up of three episodes of a rejected tv show .	25	0	0	 1.0500049738250727	1	30	18	0
for the most part , it 's a work of incendiary genius , steering clear of knee-jerk reactions and quick solutions .	22	1	1	 1.6283673867261057	14	28	1	1
the special effects and many scenes of weightlessness look as good or better than in the original , while the oscar-winning sound and james horner 's rousing score make good use of the hefty audio system .	37	1	1	 0.9195907941628728	30	43	0	1
not since freddy got fingered has a major release been so painful to sit through .	16	0	0	 1.4407760358110675	3	20	8	0
the movie is what happens when you blow up small potatoes to 10 times their natural size , and it ai n't pretty .	24	0	0	 1.3239330875483257	2	37	8	0
we have n't seen such hilarity since say it is n't so !	13	1	1	 2.029318019747389	6	18	1	1
to call the other side of heaven `` appalling '' would be to underestimate just how dangerous entertainments like it can be .	23	0	0	 2.520905094221163	2	32	11	0
nothing is sacred in this gut-buster .	7	0	0	 1.6541002990523368	5	6	2	1
feels haphazard , as if the writers mistakenly thought they could achieve an air of frantic spontaneity by simply tossing in lots of characters doing silly stuff and stirring the pot .	32	0	0	 0.9749119755534021	5	44	14	0
tries to add some spice to its quirky sentiments but the taste is all too familiar .	17	0	1	 1.5962097031089748	3	27	3	0
at its worst , it implodes in a series of very bad special effects .	15	0	0	 0.8783367213243047	1	14	14	0
with tightly organized efficiency , numerous flashbacks and a constant edge of tension , miller 's film is one of 2002 's involvingly adult surprises .	26	1	1	 0.7178841976344568	16	34	1	1
a great ensemble cast ca n't lift this heartfelt enterprise out of the familiar .	15	0	1	 3.323373452111989	9	18	2	0
a warm but realistic meditation on friendship , family and affection .	12	1	1	 0.7828878161558487	9	13	1	1
at times , the suspense is palpable , but by the end there 's a sense that the crux of the mystery hinges on a technicality that strains credulity and leaves the viewer haunted by the waste of potential .	40	0	0	 1.5805524019370853	7	54	18	0
while the resident evil games may have set new standards for thrills , suspense , and gore for video games , the movie really only succeeds in the third of these .	32	0	1	 1.7257319593894689	15	46	2	0
it 's a remarkably solid and subtly satirical tour de force .	12	1	1	 0.7149239048315466	12	11	0	1
director andrew niccol ... demonstrates a wry understanding of the quirks of fame .	14	1	1	 0.9963663519800513	4	22	1	1
when leguizamo finally plugged an irritating character late in the movie .	12	0	0	 1.0421138591272137	0	18	5	0
thekids will probably stay amused at the kaleidoscope of big , colorful characters .	14	1	1	 2.0929141559876263	11	16	0	1
mattei is tiresomely grave and long-winded , as if circularity itself indicated profundity .	14	0	0	 1.4543989896057647	1	13	13	0
... plays like somebody spliced random moments of a chris rock routine into what is otherwise a cliche-riddled but self-serious spy thriller .	23	0	0	 1.4739011502911805	2	31	12	0
an overemphatic , would-be wacky , ultimately tedious sex farce .	11	0	0	 1.7122439443870672	1	11	9	0
it all adds up to good fun .	8	1	1	 1.1181321442114671	8	7	0	1
whether writer-director anne fontaine 's film is a ghost story , an account of a nervous breakdown , a trip down memory lane , all three or none of the above , it is as seductive as it is haunting .	41	1	1	 0.7853360607172432	8	68	5	1
another in-your-face wallow in the lower depths made by people who have never sung those blues .	17	0	1	 1.7764032513802475	1	23	9	0
a very well-made , funny and entertaining picture .	9	1	1	 0.7843716691216873	11	6	0	1
it 's worth seeing just on the basis of the wisdom , and at times , the startling optimism , of the children .	24	1	1	 1.2563317401221823	14	33	0	1
despite its title , punch-drunk love is never heavy-handed .	10	1	0	 1.9549215330739962	5	13	1	1
if director michael dowse only superficially understands his characters , he does n't hold them in contempt .	18	0	0	 3.069509534615571	1	27	7	1
it 's refreshing to see a girl-power movie that does n't feel it has to prove anything .	18	1	1	 1.3064319470786898	9	25	1	1
the film may appear naked in its narrative form ... but it goes deeper than that , to fundamental choices that include the complexity of the catholic doctrine	28	1	1	 1.5672407751053472	8	46	1	1
however it may please those who love movies that blare with pop songs , young science fiction fans will stomp away in disgust .	24	0	1	 1.5078802338110697	3	32	12	0
as vulgar as it is banal .	7	0	0	 1.2793545136735514	0	6	7	0
zhang ... has done an amazing job of getting realistic performances from his mainly nonprofessional cast .	17	1	1	 1.208215936795572	11	19	3	1
outer-space buffs might love this film , but others will find its pleasures intermittent .	15	0	1	 2.536153961630196	6	22	1	0
maud and roland 's search for an unknowable past makes for a haunting literary detective story , but labute pulls off a neater trick in possession : he makes language sexy .	32	1	1	 1.1057870500475786	17	43	3	1
more whiny downer than corruscating commentary .	7	0	0	 0.9915385639077626	1	9	3	0
there are simply too many ideas floating around -- part farce , part sliding doors , part pop video -- and yet failing to exploit them .	27	0	1	 1.2322922495622475	0	40	13	0
it 's another stale , kill-by-numbers flick , complete with blade-thin characters and terrible , pun-laden dialogue .	18	0	0	 1.1993975638619931	1	16	18	0
what distinguishes time of favor from countless other thrillers is its underlying concern with the consequences of words and with the complicated emotions fueling terrorist acts .	27	1	1	 1.0609799320851458	7	40	6	1
i do n't mind having my heartstrings pulled , but do n't treat me like a fool .	18	0	0	 3.0476430605716494	2	27	6	0
the movie 's accumulated force still feels like an ugly knot tightening in your stomach .	16	0	0	 1.6940909119489846	1	22	8	0
at least one scene is so disgusting that viewers may be hard pressed to retain their lunch .	18	0	0	 1.2427452204326639	0	22	13	0
it has charm to spare , and unlike many romantic comedies , it does not alienate either gender in the audience .	22	1	1	 1.0697291117942405	11	29	3	1
an operatic , sprawling picture that 's entertainingly acted , magnificently shot and gripping enough to sustain most of its 170-minute length .	23	1	1	 0.9993333829747248	15	30	0	1
a giggle a minute .	5	1	1	 1.5060482919297289	2	7	0	1
uses sharp humor and insight into human nature to examine class conflict , adolescent yearning , the roots of friendship and sexual identity .	24	1	1	 0.7618986458567979	12	34	1	1
the continued good chemistry between carmen and juni is what keeps this slightly disappointing sequel going , with enough amusing banter -- blessedly curse-free -- to keep both kids and parents entertained .	33	1	1	 1.0071135124206516	23	38	4	1
i 'm just too bored to care .	8	0	0	 1.1749104563109671	1	8	6	0
one of the more irritating cartoons you will see this , or any , year .	16	0	0	 1.0695108981986687	0	24	7	0
it 's one heck of a character study -- not of hearst or davies but of the unique relationship between them .	22	1	1	 1.0090127882427804	8	34	1	1
it moves quickly , adroitly , and without fuss ; it does n't give you time to reflect on the inanity -- and the cold war datedness -- of its premise .	32	1	0	 1.5589853913027654	7	47	9	1
i am sorry that i was unable to get the full brunt of the comedy .	16	0	0	 1.6578728455489578	2	22	7	0
a good piece of work more often than not .	10	1	1	 1.690133750535448	6	12	1	1
while the ideas about techno-saturation are far from novel , they 're presented with a wry dark humor .	19	1	1	 1.2635307698912202	11	26	0	1
charles ' entertaining film chronicles seinfeld 's return to stand-up comedy after the wrap of his legendary sitcom , alongside wannabe comic adams ' attempts to get his shot at the big time .	34	1	0	 0.7997938819458759	16	48	3	1
an exhilarating futuristic thriller-noir , minority report twists the best of technology around a gripping story , delivering a riveting , pulse intensifying escapist adventure of the first order	29	1	1	 0.6249468832220835	31	25	1	1
beautifully observed , miraculously unsentimental comedy-drama .	7	1	1	 0.5757707357362487	5	6	2	1
the film 's hackneyed message is not helped by the thin characterizations , nonexistent plot and pretentious visual style .	20	0	0	 0.9194050117586926	2	22	15	0
a breezy romantic comedy that has the punch of a good sitcom , while offering exceptionally well-detailed characters .	19	1	1	 0.7886954429284352	20	17	0	1
should have been someone else -	6	0	0	 0.8081115029646223	0	10	1	0
coughs and sputters on its own postmodern conceit .	9	0	0	 1.0273928150780522	0	10	7	0
the lion king was a roaring success when it was released eight years ago , but on imax it seems better , not just bigger .	26	1	1	 2.0317211446885826	18	32	1	1
almost gags on its own gore .	7	0	0	 1.082218904736593	0	9	4	0
a marvel like none you 've seen .	8	1	1	 0.9495709537389191	4	11	0	1
trite , banal , cliched , mostly inoffensive .	9	0	0	 1.1427697539301107	0	7	10	0
immersing us in the endlessly inventive , fiercely competitive world of hip-hop djs , the project is sensational and revelatory , even if scratching makes you itch .	28	1	1	 0.6190465519570034	20	33	2	1
the movie has an infectious exuberance that will engage anyone with a passing interest in the skate/surf culture , the l.a. beach scene and the imaginative ( and sometimes illegal ) ways kids can make a playground out of the refuse of adults .	44	1	1	 0.8293119647986078	14	66	7	1
yakusho and shimizu ... create engaging characterizations in imamura 's lively and enjoyable cultural mix .	16	1	1	 0.8807452317533204	16	15	0	1
this is wild surreal stuff , but brilliant and the camera just kind of sits there and lets you look at this and its like you 're going from one room to the next and none of them have any relation to the other .	45	1	1	 1.1980047210652773	12	69	8	1
there is very little dread or apprehension , and though i like the creepy ideas , they are not executed with anything more than perfunctory skill .	27	0	0	 2.0716162919830876	2	35	16	0
the notion that bombing buildings is the funniest thing in the world goes entirely unexamined in this startlingly unfunny comedy .	21	0	0	 1.2629761949856508	7	21	13	0
good car chases , great fight scenes , and a distinctive blend of european , american and asian influences .	20	1	1	 0.7129606509139795	13	26	0	1
the last 20 minutes are somewhat redeeming , but most of the movie is the same teenage american road-trip drek we 've seen before - only this time you have to read the fart jokes	35	0	0	 0.9349171488187227	4	50	15	0
even in its most tedious scenes , russian ark is mesmerizing .	12	1	1	 1.2690572961986486	6	13	4	1
with its dogged hollywood naturalism and the inexorable passage of its characters toward sainthood , windtalkers is nothing but a sticky-sweet soap .	23	0	0	 2.4023821138062087	0	34	11	0
generally , clockstoppers will fulfill your wildest fantasies about being a different kind of time traveler , while happily killing 94 minutes .	23	1	0	 2.2654852970133947	18	27	0	1
